Run_ID	Probability	Seeds	AverageRetweets
1	0.001	['maxieandreison']	[1.0, 54.49, 0.07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2	0.002	['maxieandreison']	[1.0, 109.42, 0.09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3	0.003	['maxieandreison']	[1.0, 163.48, 0.41, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4	0.004	['maxieandreison']	[1.0, 217.83, 0.68, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
5	0.006	['maxieandreison']	[1.0, 327.91, 1.77, 0.02, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
6	0.007	['maxieandreison']	[1.0, 381.84, 3.4, 0.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
7	0.008	['maxieandreison']	[1.0, 437.04, 2.59, 0.05, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
8	0.009	['maxieandreison']	[1.0, 491.14, 3.65, 0.07, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
9	0.01	['maxieandreison']	[1.0, 546.35, 5.88, 0.13, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
10	0.02	['maxieandreison']	[1.0, 1093.05, 22.47, 0.86, 0.17, 0.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
11	0.03	['maxieandreison']	[1.0, 1637.95, 52.76, 6.28, 2.11, 1.12, 0.48, 0.23, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0]
12	0.04	['maxieandreison']	[1.0, 2185.28, 78.59, 10.49, 4.16, 2.34, 1.42, 0.44, 0.16, 0.06, 0.01, 0.0, 0.0, 0.0]
13	0.05	['maxieandreison']	[1.0, 2728.97, 128.35, 18.87, 11.57, 8.79, 4.38, 2.82, 2.21, 0.86, 0.31, 0.34, 0.07, 0.13]
14	0.06	['maxieandreison']	[1.0, 3276.55, 184.55, 34.43, 23.65, 19.42, 15.74, 13.45, 6.31, 5.77, 1.5, 0.62, 0.47, 0.07]
15	0.07	['maxieandreison']	[1.0, 3819.9, 249.5, 56.56, 39.58, 38.84, 34.99, 25.17, 18.82, 14.04, 6.67, 3.58, 2.49, 0.46]
1	0.08	['maxieandreison']	[1.0, 4366.96, 361.18, 68.32, 69.06, 70.32, 61.29, 57.94, 47.66, 35.71, 22.0, 12.29, 4.88, 2.21]
2	0.09	['maxieandreison']	[1.0, 4912.47, 458.49, 107.18, 113.7, 137.15, 135.93, 114.37, 84.33, 60.69, 54.08, 32.36, 19.79, 12.39]
3	0.1	['maxieandreison']	[1.0, 5459.03, 567.26, 153.71, 161.88, 189.96, 199.67, 181.7, 143.36, 98.12, 69.88, 42.69, 24.81, 15.44]
1	0.15	['maxieandreison']	[1.0, 8186.76, 1262.28, 536.99, 660.23, 946.2, 982.97, 828.2, 585.42, 365.33, 210.51, 126.05, 65.04, 33.76]
2	0.2	['maxieandreison']	[1.0, 10918.95, 2045.37, 1051.68, 1647.33, 2273.55, 1980.59, 1517.33, 827.07, 408.99, 209.93, 81.52, 27.09, 20.7]
3	0.25	['maxieandreison']	[1.0, 13651.31, 3380.35, 2022.16, 3028.8, 3738.21, 3175.83, 2030.64, 1060.43, 436.4, 123.56, 55.1, 7.5, 5.48]
4	0.3	['maxieandreison']	[1.0, 16382.42, 4930.7, 3090.52, 4780.03, 5410.01, 4178.84, 2750.27, 1200.46, 455.44, 118.45, 36.83, 0.43, 11.5]
5	0.35	['maxieandreison']	[1.0, 19116.69, 6578.4, 4894.16, 6730.36, 6969.14, 5333.69, 3197.95, 1384.83, 339.92, 88.19, 9.98, 0.1, 0.0]
6	0.4	['maxieandreison']	[1.0, 21843.23, 8412.4, 6882.29, 9054.92, 8756.68, 6771.45, 3900.85, 984.1, 248.07, 27.4, 0.27, 5.12, 1.68]
7	0.45	['maxieandreison']	[1.0, 24565.41, 10766.64, 9102.71, 11319.16, 10220.91, 8885.37, 4144.43, 893.94, 191.85, 14.81, 11.51, 0.0, 0.0]
8	0.5	['maxieandreison']	[1.0, 27299.62, 13397.32, 11939.05, 13582.5, 11420.75, 10595.2, 4465.92, 1154.32, 222.49, 18.59, 8.02, 0.0, 0.0]
